-4.000	4.000	1.000	4.000	363.160305	0.316760
-3.750	3.000	1.000	3.000	388.457380	0.308506
-3.500	4.000	0.750	4.000	266.006129	0.315138
-3.250	5.000	0.750	5.000	197.746490	0.309155
-2.250	4.000	0.750	4.000	90.301712	0.318507
-1.500	3.000	0.250	3.000	36.421902	0.316904
-1.000	3.000	0.750	3.000	19.707345	0.311114
-1.000	5.000	1.000	5.000	23.382036	0.307368
-0.750	5.000	1.500	5.000	40.570305	0.315582
-0.500	5.000	-0.500	5.000	6.650621	0.304406
-0.500	2.000	0.750	2.000	9.045463	0.312120
-0.500	4.000	1.500	4.000	35.168630	0.316220
-0.500	5.000	2.250	5.000	89.321492	0.312900
-0.250	3.000	-0.500	3.000	3.580754	0.308612
-0.250	4.000	2.000	4.000	62.771288	0.308101
-0.250	5.000	3.000	5.000	160.040991	0.315956
0.000	5.000	-1.250	5.000	25.372056	0.312222
0.000	4.000	2.500	4.000	99.828243	0.303558
0.250	2.000	1.250	2.000	16.230218	0.300563
0.250	4.000	3.000	4.000	146.366496	0.301094
0.500	4.000	-1.750	4.000	44.639228	0.317587
0.500	4.000	3.500	4.000	202.399721	0.300148
0.750	5.000	-2.500	5.000	105.982318	0.317912
0.750	2.000	-1.500	2.000	24.663457	0.317892
0.750	3.000	2.500	3.000	86.570542	0.307201
1.000	5.000	-3.000	5.000	160.335461	0.301683
1.000	4.000	-2.500	4.000	96.076285	0.319798
1.250	3.000	-2.500	3.000	102.707359	0.300214
1.500	2.000	2.250	2.000	83.189120	0.307071
1.750	2.000	2.250	2.000	98.942413	0.311312
1.750	3.000	3.750	3.000	214.923662	0.313281
2.000	3.000	-3.500	3.000	279.089482	0.304364
2.000	2.000	2.250	2.000	117.137564	0.314878
2.500	2.000	2.500	2.000	177.125169	0.302766
3.000	2.000	2.750	2.000	251.437585	0.309247
