0.546	0.000	34.409243	0.275945
0.540	0.250	32.934995	0.277410
0.535	0.500	31.640026	0.278669
0.531	0.750	30.498994	0.279731
0.526	1.000	29.484006	0.280605
0.522	1.250	28.581200	0.281304
0.519	1.500	27.776457	0.281839
0.516	1.750	27.055975	0.282224
0.513	2.000	26.407336	0.282473
0.510	2.250	25.819662	0.282599
0.508	2.500	25.283099	0.282619
0.507	2.750	24.788957	0.282544
0.505	3.000	24.329702	0.282391
0.504	3.250	23.898747	0.282173
0.504	3.500	23.490303	0.281902
0.503	3.750	23.099459	0.281593
0.503	4.000	22.721949	0.281256
0.504	4.250	22.353952	0.280904
0.505	4.500	21.992090	0.280546
0.506	4.750	21.633422	0.280193
0.507	5.000	21.275433	0.279854
0.509	5.250	20.916022	0.279536
0.511	5.500	20.553482	0.279247
0.514	5.750	20.186473	0.278993
0.517	6.000	19.814001	0.278780
0.520	6.250	19.435401	0.278612
0.524	6.500	19.050287	0.278494
0.528	6.750	18.658534	0.278429
0.532	7.000	18.260256	0.278420
0.537	7.250	17.855766	0.278468
0.542	7.500	17.445554	0.278576
0.548	7.750	17.030257	0.278744
0.554	8.000	16.610641	0.278972
0.560	8.250	16.187565	0.279261
0.567	8.500	15.761964	0.279611
0.573	8.750	15.334826	0.280020
0.581	9.000	14.907170	0.280487
0.588	9.250	14.480028	0.281012
0.597	9.500	14.054430	0.281592
0.605	9.750	13.631387	0.282226
