0.20	0.00	0.096486	0.103849	0.103235	0.101134	-2.512605	4.254620	1.780106	nan	2158486032458.959717	1.002662	1.921967	16082.361674	4.369350	0.387194	0.361736	0.849009
0.20	0.25	0.098124	0.105316	0.104763	0.102682	-1.299922	4.597742	1.624595	nan	1.744166	0.750903	1.387242	1.220229	2.465109	0.374329	0.341920	0.680777
0.20	0.50	0.099673	0.106654	0.106158	0.104112	-0.719820	12.698245	1.559470	nan	0.740481	0.556910	1.048691	0.756221	1.621102	0.364651	0.325682	0.577423
0.20	0.75	0.101128	0.107860	0.107418	0.105423	-1.302468	2.432879	2.262658	nan	1.227516	0.557912	0.708829	0.785920	1.123758	0.357052	0.311770	0.500126
0.20	1.00	0.102486	0.108934	0.108542	0.106613	-0.757766	1.201391	0.826945	nan	0.744733	0.589238	1.119579	0.789070	0.791574	0.350342	0.299012	0.436071
0.20	1.25	0.103745	0.109876	0.109530	0.107680	-1.923238	0.673016	0.674874	nan	2.767250	0.737405	1.176235	1.338904	0.559804	0.343093	0.286203	0.380225
0.20	1.50	0.104901	0.110687	0.110383	0.108624	18.294196	0.527460	0.580193	1.775654	-1.685382	0.814084	1.250915	nan	0.399973	0.333437	0.272070	0.331061
0.20	1.75	0.105953	0.111369	0.111102	0.109446	2.054593	0.449439	0.510717	0.778381	-0.639075	0.890242	1.441106	nan	0.297060	0.318836	0.255537	0.289260
0.20	2.00	0.106901	0.111923	0.111691	0.110147	1.195194	0.397600	0.457160	0.601152	-0.424078	1.044565	1.886414	nan	0.242123	0.296820	0.237558	0.257494
0.20	2.25	0.107744	0.112355	0.112152	0.110730	0.882238	0.359739	0.414737	0.508685	-0.511892	1.202025	1.667463	nan	0.267123	0.279126	0.233994	0.259361
0.20	2.50	0.108483	0.112666	0.112489	0.111196	0.718283	0.330615	0.380458	0.448720	-0.425520	0.985931	1.300419	nan	0.238603	0.285305	0.235794	0.252255
0.20	2.75	0.109119	0.112863	0.112707	0.111550	0.616560	0.307447	0.352296	0.405712	-0.325352	0.686730	0.838670	nan	0.200399	0.314249	0.252624	0.251506
0.20	3.00	0.109653	0.112948	0.112811	0.111794	0.546852	0.288556	0.328812	0.372978	-0.318283	0.567460	0.619160	nan	0.194071	0.332430	0.271616	0.259740
0.20	3.25	0.110089	0.112928	0.112806	0.111933	0.495810	0.272842	0.308965	0.347039	-0.321963	0.513546	0.524864	nan	0.191340	0.337033	0.282240	0.263046
0.20	3.50	0.110427	0.112807	0.112697	0.111971	0.456600	0.259550	0.291979	0.325864	-0.327960	0.482296	0.474758	nan	0.188996	0.333803	0.285755	0.262208
0.20	3.75	0.110671	0.112591	0.112489	0.111914	0.425356	0.248137	0.277272	0.308165	-0.333896	0.460693	0.443545	nan	0.186275	0.326422	0.284511	0.258629
0.20	4.00	0.110825	0.112286	0.112189	0.111765	0.399727	0.238206	0.264403	0.293085	-0.338909	0.443865	0.421757	nan	0.183024	0.316911	0.280279	0.253325
0.20	4.25	0.110891	0.111896	0.111803	0.111529	0.378200	0.229458	0.253029	0.280026	-0.342678	0.429690	0.405232	nan	0.179283	0.306382	0.274225	0.246966
0.20	4.50	0.110874	0.111427	0.111335	0.111212	0.359760	0.221668	0.242884	0.268558	-0.345106	0.417150	0.391908	nan	0.175145	0.295460	0.267096	0.239987
0.20	4.75	0.110777	0.110885	0.110792	0.110818	0.343703	0.214657	0.233759	0.258364	-0.346196	0.405728	0.380672	nan	0.170715	0.284501	0.259368	0.232679
0.20	5.00	0.110605	0.110275	0.110178	0.110352	0.329522	0.208289	0.225487	0.249205	-0.346002	0.395151	0.370887	nan	0.166085	0.273708	0.251345	0.225232
0.20	5.25	0.110360	0.109601	0.109500	0.109820	0.316846	0.202454	0.217935	0.240898	-0.344606	0.385274	0.362169	nan	0.161334	0.263194	0.243225	0.217772
0.20	5.50	0.110047	0.108869	0.108762	0.109225	0.305397	0.197064	0.210994	0.233300	-0.342107	0.376020	0.354281	nan	0.156525	0.253017	0.235133	0.210386
0.20	5.75	0.109671	0.108084	0.107970	0.108572	0.294962	0.192050	0.204577	0.226297	-0.338615	0.367352	0.347076	nan	0.151712	0.243203	0.227148	0.203126
0.20	6.00	0.109234	0.107250	0.107128	0.107866	0.285375	0.187354	0.198611	0.219800	-0.334250	0.359254	0.340459	nan	0.146935	0.233759	0.219319	0.196031
0.20	6.25	0.108741	0.106371	0.106240	0.107111	0.276506	0.182930	0.193035	0.213735	-0.329134	0.351722	0.334375	nan	0.142229	0.224678	0.211674	0.189120
0.20	6.50	0.108195	0.105451	0.105311	0.106311	0.268251	0.178739	0.187801	0.208043	-0.323401	0.344763	0.328792	nan	0.137618	0.215946	0.204227	0.182408
0.20	6.75	0.107601	0.104494	0.104345	0.105469	0.260524	0.174750	0.182865	0.202674	-0.317182	0.338391	0.323697	nan	0.133126	0.207546	0.196983	0.175901
0.20	7.00	0.106961	0.103505	0.103345	0.104591	0.253259	0.170937	0.178194	0.197590	-0.310617	0.332625	0.319092	nan	0.128770	0.199456	0.189941	0.169600
0.20	7.25	0.106279	0.102486	0.102316	0.103678	0.246397	0.167279	0.173757	0.192755	-0.303845	0.327491	0.314989	nan	0.124565	0.191656	0.183095	0.163505
0.20	7.50	0.105558	0.101441	0.101261	0.102734	0.239892	0.163757	0.169529	0.188142	-0.297013	0.323022	0.311412	nan	0.120526	0.184125	0.176437	0.157614
0.20	7.75	0.104801	0.100372	0.100182	0.101763	0.233704	0.160357	0.165488	0.183728	-0.290268	0.319262	0.308393	nan	0.116666	0.176843	0.169960	0.151924
