0.779	4.500	5.281621	0.305552
0.761	4.750	5.527520	0.308037
0.744	5.000	5.804044	0.309837
0.729	5.250	6.105483	0.311024
0.715	5.500	6.425460	0.311676
0.703	5.750	6.756923	0.311879
0.692	6.000	7.092188	0.311720
0.682	6.250	7.423057	0.311286
0.674	6.500	7.740990	0.310661
0.667	6.750	8.037338	0.309928
0.661	7.000	8.303610	0.309160
0.657	7.250	8.531782	0.308426
0.654	7.500	8.714603	0.307788
0.652	7.750	8.845878	0.307301
0.652	8.000	8.920729	0.307012
0.654	8.250	8.935792	0.306960
0.656	8.500	8.889353	0.307180
0.660	8.750	8.781398	0.307699
0.666	9.000	8.613585	0.308537
0.673	9.250	8.389134	0.309710
0.681	9.500	8.112655	0.311231
0.690	9.750	7.789912	0.313105
