0.20	0.00	0.042697	0.042697	-0.006911	nan	0.028696	0.028696	-0.008381	nan	-0.015286	-0.015286	-0.004587	nan	-0.003896	-0.003896	-0.002589	nan
0.20	0.10	0.040605	0.040605	-0.007338	nan	0.026976	0.026976	-0.008942	nan	-0.016233	-0.016233	-0.004810	nan	-0.003949	-0.003949	-0.002652	nan
0.20	0.20	0.038825	0.038825	-0.007832	nan	0.025528	0.025528	-0.009502	nan	-0.017272	-0.017272	-0.005045	nan	-0.004002	-0.004002	-0.002716	nan
0.20	0.30	0.037454	0.037454	-0.008420	nan	0.024230	0.024230	-0.010036	nan	-0.018415	-0.018415	-0.005296	nan	-0.004054	-0.004054	-0.002781	nan
0.20	0.40	0.036362	0.036362	-0.009114	nan	0.023078	0.023078	-0.010550	nan	-0.019678	-0.019678	-0.005562	nan	-0.004105	-0.004105	-0.002845	nan
0.20	0.50	0.035468	0.035468	-0.009907	nan	0.022062	0.022062	-0.011074	nan	-0.021083	-0.021083	-0.005846	nan	-0.004157	-0.004157	-0.002910	nan
0.20	0.60	0.034723	0.034723	-0.010792	nan	0.021166	0.021166	-0.011642	nan	-0.022653	-0.022653	-0.006148	nan	-0.004207	-0.004207	-0.002976	nan
0.20	0.70	0.034097	0.034097	-0.011771	nan	0.020374	0.020374	-0.012272	nan	-0.024420	-0.024420	-0.006471	nan	-0.004257	-0.004257	-0.003041	nan
0.20	0.80	0.033570	0.033570	-0.012855	nan	0.019671	0.019671	-0.012975	nan	-0.026423	-0.026423	-0.006817	nan	-0.004306	-0.004306	-0.003107	nan
0.20	0.90	0.033126	0.033126	-0.014063	nan	0.019045	0.019045	-0.013757	nan	-0.028713	-0.028713	-0.007188	nan	-0.004355	-0.004355	-0.003172	nan
0.20	1.00	0.032755	0.032755	-0.015422	nan	0.018485	0.018485	-0.014621	nan	-0.031355	-0.031355	-0.007587	nan	-0.004403	-0.004403	-0.003238	nan
0.20	1.10	0.032447	0.032447	-0.016966	nan	0.017983	0.017983	-0.015575	nan	-0.034438	-0.034438	-0.008017	nan	-0.004450	-0.004450	-0.003303	nan
0.20	1.20	0.032198	0.032198	-0.018738	nan	0.017530	0.017530	-0.016624	nan	-0.038083	-0.038083	-0.008481	nan	-0.004497	-0.004497	-0.003369	nan
0.20	1.30	0.032001	0.032001	-0.020799	nan	0.017121	0.017121	-0.017779	nan	-0.042458	-0.042458	-0.008984	nan	-0.004543	-0.004543	-0.003434	nan
0.20	1.40	0.031852	0.031852	-0.023226	nan	0.016750	0.016750	-0.019048	nan	-0.047807	-0.047807	-0.009530	nan	-0.004588	-0.004588	-0.003499	nan
0.20	1.50	0.031748	0.031748	-0.026130	nan	0.016413	0.016413	-0.020445	nan	-0.054497	-0.054497	-0.010126	nan	-0.004633	-0.004633	-0.003564	nan
0.20	1.60	0.031686	0.031686	-0.029667	nan	0.016106	0.016106	-0.021983	nan	-0.063105	-0.063105	-0.010777	nan	-0.004677	-0.004677	-0.003628	nan
0.20	1.70	0.031663	0.031663	-0.034071	nan	0.015825	0.015825	-0.023680	nan	-0.074595	-0.074595	-0.011493	nan	-0.004720	-0.004720	-0.003692	nan
0.20	1.80	0.031679	0.031679	-0.039705	nan	0.015567	0.015567	-0.025556	nan	-0.090708	-0.090708	-0.012282	nan	-0.004762	-0.004762	-0.003755	nan
0.20	1.90	0.031732	0.031732	-0.047167	nan	0.015331	0.015331	-0.027633	nan	-0.114940	-0.114940	-0.013157	nan	-0.004804	-0.004804	-0.003818	nan
0.20	2.00	0.031820	0.031820	-0.057513	nan	0.015113	0.015113	-0.029938	nan	-0.155500	-0.155500	-0.014132	nan	-0.004845	-0.004845	-0.003880	nan
0.20	2.10	0.031943	0.031943	-0.072812	nan	0.014913	0.014913	-0.032504	nan	-0.237296	-0.237296	-0.015225	nan	-0.004885	-0.004885	-0.003941	nan
0.20	2.20	0.032101	0.032101	-0.097728	nan	0.014727	0.014727	-0.035366	nan	-0.488318	-0.488318	-0.016459	nan	-0.004924	-0.004924	-0.004002	nan
0.20	2.30	0.032293	0.032293	-0.145452	nan	0.014556	0.014556	-0.038571	nan	14.263928	14.263928	-0.017862	nan	-0.004962	-0.004962	-0.004062	nan
0.20	2.40	0.032520	0.032520	-0.273644	nan	-0.086395	-0.086395	-0.042169	nan	0.012023	0.012023	-0.019473	nan	-0.005000	-0.005000	-0.004121	nan
0.20	2.50	0.032781	0.032781	-1.774658	nan	0.239871	0.239871	-0.021339	nan	0.014249	0.014249	-0.046224	nan	-0.005036	-0.005036	-0.004179	nan
0.20	2.60	0.033078	0.033078	0.415975	0.076922	0.162508	0.162508	-0.023529	nan	0.014112	0.014112	-0.050811	nan	-0.005072	-0.005072	-0.004236	nan
0.20	2.70	0.033411	0.033411	0.190328	0.059671	0.123496	0.123496	-0.026132	nan	0.013984	0.013984	-0.056020	nan	-0.005108	-0.005108	-0.004292	nan
0.20	2.80	0.033781	0.033781	-0.028195	nan	0.099978	0.099978	0.107469	0.102415	0.013864	0.013864	-0.061962	nan	-0.005142	-0.005142	-0.004347	nan
0.20	2.90	0.084249	0.084249	-0.033159	nan	0.034189	0.034189	0.094122	0.047917	0.013753	0.013753	-0.068770	nan	-0.005175	-0.005175	-0.004401	nan
0.20	3.00	0.072987	0.072987	-0.038064	nan	0.034637	0.034637	0.076016	0.045012	0.013648	0.013648	-0.076610	nan	-0.005208	-0.005208	-0.004454	nan
