0 	0 	[1,1,0] 	3.04000
1 	1 	[1,1,0] 	3.04000
2 	2 	[1,1,0] 	3.04000
3 	3 	[1,1,0] 	3.04000
0 	1 	[-1,0,0] 	3.61225
0 	1 	[-1,0,-1] 	3.60580
0 	2 	[0,0,-1] 	3.32742
0 	2 	[-1,-1,-1] 	3.32742
0 	2 	[0,-1,-1] 	3.27777
0 	3 	[0,0,0] 	3.30067
0 	3 	[0,0,-1] 	3.44586
0 	3 	[-1,-1,0] 	3.30067
0 	3 	[-1,-1,-1] 	3.44586
1 	2 	[1,0,0] 	3.44586
1 	2 	[0,-1,0] 	3.44586
1 	2 	[0,-1,-1] 	3.30067
1 	2 	[1,0,-1] 	3.30067
1 	3 	[0,0,0] 	3.27777
1 	3 	[1,0,0] 	3.32742
1 	3 	[0,-1,0] 	3.32742
2 	3 	[0,1,0] 	3.10927
2 	3 	[-1,0,0] 	3.10927
